院校名称,省份,2014,2015,2016,2017,2018,2014A,2015A,2016A,2017A,2018A,编号,院校名称,院校排名,省份,城市,985,211,自招,院校隶属,院校公办,办学类型,城市等级,评分
复旦大学,上海,662.0,669.0,642.0,652.0,654.0,0.9749631811487481,0.9809384164222874,0.9846625766871165,0.9923896499238964,0.9185393258426966,3,复旦大学,全国4 综合3,上海市,上海市,1.0,1.0,1.0,教育部,公办,大学,5.0,1.4652288061494245
同济大学,上海,652.0,667.0,606.0,614.0,633.0,0.9602356406480118,0.9780058651026393,0.9294478527607362,0.9345509893455098,0.8890449438202247,15,同济大学,全国23 理工6,上海市,上海市,1.0,1.0,1.0,教育部,公办,大学,5.0,1.4289652448647892
上海交通大学,上海,661.0,670.0,647.0,645.0,669.0,0.9734904270986745,0.9824046920821115,0.9923312883435583,0.9817351598173516,0.9396067415730337,4,上海交通大学,全国6 综合5,上海市,上海市,1.0,1.0,1.0,教育部,公办,大学,5.0,1.470491816617144
华东理工大学,上海,605.0,628.0,579.0,566.0,591.0,0.8910162002945509,0.9208211143695014,0.8880368098159509,0.8614916286149162,0.8300561797752809,55,华东理工大学,全国52 理工21,上海市,上海市,0.0,1.0,1.0,教育部,公办,大学,5.0,1.169221910234384
上海理工大学,上海,585.0,606.0,557.0,0.0,566.0,0.8615611192930781,0.8885630498533724,0.8542944785276073,0.7949438202247191,0.7949438202247191,179,上海理工大学,全国95 理工37,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.8775185662364307
上海海事大学,上海,575.0,586.0,527.0,521.0,522.0,0.8468335787923417,0.8592375366568915,0.808282208588957,0.7929984779299848,0.7331460674157303,233,上海海事大学,全国203 理工71,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.8434188698027747
东华大学,上海,594.0,618.0,567.0,553.0,578.0,0.8748159057437408,0.906158357771261,0.8696319018404908,0.8417047184170472,0.8117977528089888,90,东华大学,全国69 理工30,上海市,上海市,0.0,1.0,1.0,教育部,公办,大学,5.0,1.15129723005512
上海电力大学,上海,559.0,0.0,517.0,496.0,526.0,0.8232695139911634,0.7929447852760736,0.7929447852760736,0.7549467275494672,0.7387640449438202,224,上海电力大学,全国340 理工124,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,学院,5.0,0.820223521616255
上海应用技术大学,上海,535.0,0.0,494.0,477.0,502.0,0.7879234167893961,0.7576687116564417,0.7576687116564417,0.726027397260274,0.7050561797752809,313,上海应用技术大学,全国375 理工140,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.7870000940063471
上海海洋大学,上海,570.0,578.0,517.0,513.0,537.0,0.8394698085419735,0.8475073313782991,0.7929447852760736,0.7808219178082192,0.7542134831460674,257,上海海洋大学,全国206 农林18,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.8411315620120321
上海中医药大学,上海,547.0,0.0,0.0,0.0,0.0,0.8055964653902798,0.8055964653902798,0.8055964653902798,0.8055964653902798,0.8055964653902798,237,上海中医药大学,全国134 医科8,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.8555964653902799
华东师范大学,上海,620.0,633.0,588.0,589.0,614.0,0.9131075110456554,0.9281524926686217,0.901840490797546,0.8964992389649924,0.8623595505617978,1859,华东师范大学,全国28 师范2,上海市,上海市,1.0,1.0,1.0,教育部,公办,大学,5.0,1.3937343980741554
上海师范大学,上海,569.0,0.0,510.0,505.0,541.0,0.8379970544918999,0.7822085889570553,0.7822085889570553,0.7686453576864536,0.7598314606741573,198,上海师范大学,全国111 师范13,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.82768348920802
上海外国语大学,上海,621.0,634.0,591.0,592.0,604.0,0.914580265095729,0.9296187683284457,0.906441717791411,0.9010654490106544,0.848314606741573,31,上海外国语大学,语言4,上海市,上海市,0.0,1.0,1.0,教育部,公办,大学,5.0,1.1919499295922575
上海财经大学,上海,642.0,653.0,617.0,619.0,636.0,0.9455081001472754,0.9574780058651027,0.946319018404908,0.9421613394216134,0.8932584269662921,17,上海财经大学,全国61 财经1,上海市,上海市,0.0,1.0,1.0,教育部,公办,大学,5.0,1.2309541775207655
上海海关学院,上海,592.0,0.0,560.0,546.0,559.0,0.8718703976435935,0.8588957055214724,0.8588957055214724,0.8310502283105022,0.7851123595505618,356,上海海关学院,全国505 综合103,上海市,上海市,0.0,0.0,0.0,海关总署,公办,学院,5.0,0.8810968016396687
华东政法大学,上海,604.0,618.0,576.0,579.0,603.0,0.8895434462444771,0.906158357771261,0.8834355828220859,0.8812785388127854,0.8469101123595506,104,华东政法大学,全国177 政法4,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,大学,5.0,0.9259578832656157
上海体育学院,上海,550.0,0.0,0.0,0.0,0.0,0.8100147275405007,0.8100147275405007,0.8100147275405007,0.8100147275405007,0.8100147275405007,492,上海体育学院,体育2,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,学院,5.0,0.8600147275405008
上海音乐学院,上海,568.0,0.0,0.0,0.0,0.0,0.8365243004418262,0.8365243004418262,0.8365243004418262,0.8365243004418262,0.8365243004418262,2485,上海音乐学院,艺术5,上海市,上海市,0.0,0.0,0.0,上海市教育委员会,公办,学院,5.0,0.8865243004418263
上海大学,上海,608.0,622.0,573.0,563.0,581.0,0.8954344624447718,0.9120234604105572,0.8788343558282209,0.8569254185692542,0.8160112359550562,77,上海大学,全国55 综合24,上海市,上海市,0.0,1.0,1.0,上海市教育委员会,公办,大学,5.0,1.1611485619005355
